 word=မျၢတ်ႈ, f=332
 word=ႁူၺ်ႈ, f=332
 word=လႅၼ်ႇ, f=332
 word=ၸိတ်ႉ, f=330
 word=ပိုၼ်ၽၢဝ်ႇ, f=328
 word=လိၵ်ႈလၢႆး, f=328
 word=ၶူး, f=328
 word=ၵၢတ်ႈ, f=327
 word=ၸု, f=327
 word=ၶုၼ်ၽီ, f=326
 word=ယႃႉ, f=326
 word=ၸၼ်ႉသုင်, f=325
 word=တပ်ႉသိုၵ်း, f=324
 word=တိူဝ်း, f=324
 word=ဢႃႇဝ, f=324
 word=လဵၵ်း, f=323
 word=သတ်း, f=322
 word=ပင်, f=322
 word=ၸွမ်ၸိုင်ႈ, f=320
 word=ၶွင်ႇ, f=320
 word=ဢွၼ်တၢင်း, f=319
 word=မူဝ်း, f=319
 word=တူဝ်း, f=319
 word=သူး, f=319
 word=ႁႅၼ်း, f=318
 word=ၶၼ်, f=318
 word=ၵၢမ်ႇ, f=317
 word=သုမ်း, f=317
 word=ၼမ်ႉၵဵဝ်, f=316
 word=တႄႉယဝ်ႉ, f=316
 word=ရူတ်ႉ, f=316
 word=မႅင်ႇ, f=316
 word=ယီႈ, f=316
 word=ၶဝ်ၸဝ်ႈ, f=314
 word=ယိပ်း, f=313
 word=ၶႄႉ, f=313
 word=ၺွပ်း, f=311
 word=တူၼ်, f=311
 word=ၵႃ, f=311
 word=ႁဵင်, f=309
 word=ယႃႈ, f=309
 word=လႄ, f=309
 word=ၵၢၼ်ႉ, f=308
 word=တၢႆႇ, f=308
 word=လဵၼ်း, f=307
 word=သၢင်ႇ, f=306
 word=ၶေႃး, f=306
 word=ထမ်း, f=306
 word=ထေ, f=306
 word=ၽွင်းမိူင်း, f=305
 word=မိတ်ႈ, f=305
 word=ၶိၼ်, f=305
 word=ဝေႇ, f=305
 word=ၵျပၢၼ်ႇ, f=304
 word=မူၺ်ႇ, f=304
 word=ပႅတ်ႇ, f=304
